"lhs","rhs","support","confidence","lift","chi_squared"
"gastroesophageal reflux","asthma",0.011653128056819631,0.9927536231884058,1.01662017952306,0.037394069318652336
"asthma","gastroesophageal reflux",0.011653128056819631,0.011933278167327206,1.0166201795230603,0.03739406931865316
"nasal polyps","asthma",0.010717475439118785,0.9509433962264151,0.9738048027294848,0.0819890558633867
"asthma","nasal polyps",0.010717475439118785,0.010975131745133052,0.9738048027294847,0.08198905586338769
"hypertension","asthma",0.010249649130268362,0.9917695473251029,1.0156124457234068,0.025516466699893384
"asthma","hypertension",0.010249649130268362,0.010496058534035974,1.0156124457234068,0.025516466699893253
"pneumonia","asthma",0.010760005103559733,0.98828125,1.0120402870628458,0.016793151164679176
"asthma","pneumonia",0.010760005103559733,0.011018683855232785,1.0120402870628455,0.016793151164678687
"bronchial spasm","asthma",0.018245226045166502,0.9727891156462585,0.9961757099512424,0.004988431423152849
"asthma","bronchial spasm",0.018245226045166502,0.01868385523278603,0.9961757099512425,0.004988431423152544
"eosinophilia","asthma",0.01637392080976481,0.9922680412371134,1.0161229238102978,0.06984736677052894
"asthma","eosinophilia",0.01637392080976481,0.016767562388397717,1.0161229238102976,0.06984736677052719
"airway obstruction","asthma",0.019138348998426404,0.9911894273127754,1.0150183791823215,0.08312386884922067
"asthma","airway obstruction",0.019138348998426404,0.01959844954488045,1.0150183791823217,0.08312386884922274
"rhinitis, allergic, perennial","asthma",0.018670522689575978,0.984304932735426,1.0079683760902431,0.022418142814930916
"asthma","rhinitis, allergic, perennial",0.018670522689575978,0.019119376333783373,1.0079683760902431,0.02241814281493089
"lung diseases","asthma",0.014332496916599328,0.9911764705882353,1.0150051109682146,0.04630807203657864
"asthma","lung diseases",0.014332496916599328,0.014677061103610469,1.0150051109682146,0.04630807203657849
"rhinitis, allergic, seasonal","asthma",0.022625781482584102,0.9906890130353817,1.0145059345629952,0.10883150734174003
"asthma","rhinitis, allergic, seasonal",0.022625781482584102,0.023169722573058663,1.0145059345629952,0.10883150734174084
"pulmonary emphysema","asthma",0.01709692510526092,0.9975186104218362,1.0214997206937255,0.13478715621701154
"asthma","pulmonary emphysema",0.01709692510526092,0.017507948260093203,1.0214997206937257,0.13478715621701348
"rhinitis","asthma",0.02105218389826904,0.966796875,0.9900394112571317,0.04547264128967494
"asthma","rhinitis",0.02105218389826904,0.021558294499368493,0.9900394112571316,0.04547264128967598
"acute disease","asthma",0.03249266363288394,0.9720101781170484,0.9953780461681181,0.023478844505999942
"asthma","acute disease",0.03249266363288394,0.03327381211619703,0.9953780461681181,0.023478844505999987
"lung diseases, obstructive","asthma",0.02981329477310424,0.9971550497866287,1.0211274197828055,0.40113698081978727
"asthma","lung diseases, obstructive",0.02981329477310424,0.030530029179913768,1.0211274197828057,0.40113698081979293
"bronchial hyperreactivity","asthma",0.03959511759452218,0.9769150052465897,1.000400789092943,0.0002627767853595462
"asthma","bronchial hyperreactivity",0.03959511759452218,0.04054701450285266,1.000400789092943,0.0002627767853595468
"pulmonary disease, chronic obstructive","asthma",0.03606515544592353,0.9941383352872216,1.018038181159725,0.4320382391052649
"asthma","pulmonary disease, chronic obstructive",0.03606515544592353,0.036932189364574715,1.0180381811597248,0.43203823910525524
"occupational diseases","asthma",0.07200272189852422,0.9865967365967366,1.0103152766690942,0.5899171198160348
"asthma","occupational diseases",0.07200272189852422,0.07373372239885022,1.010315276669094,0.5899171198160135
"bronchitis","chronic disease",0.019478586313953983,0.3723577235772358,6.792278630311516,49.195627889526016
"chronic disease","bronchitis",0.019478586313953983,0.35531419705197825,6.7922786303115155,49.195627889526016
"bronchitis","asthma",0.0522264279334836,0.9983739837398374,1.0223756578404597,1.411669928807167
"asthma","bronchitis",0.0522264279334836,0.05348199120247376,1.0223756578404597,1.4116699288071577
"chronic disease","asthma",0.05465061880661762,0.9968968192397207,1.0208629811760617,1.349392431344686
"asthma","chronic disease",0.05465061880661762,0.05596446147815862,1.0208629811760617,1.3493924313446841
"chronic disease,bronchitis","asthma",0.019478586313953983,1.0,1.0240407647750533,0.21873289881909738
"bronchitis,asthma","chronic disease",0.019478586313953983,0.3729641693811075,6.803340973357626,49.298995647814905
"chronic disease,asthma","bronchitis",0.019478586313953983,0.35642023346303503,6.813421910094587,49.392766856912104
