"mesh","umls"
"1-acylglycerophosphocholine o-acyltransferase","Amino Acid, Peptide, or Protein"
"1-acylglycerophosphocholine o-acyltransferase","Enzyme"
"1-alkyl-2-acetylglycerophosphocholine esterase","Amino Acid, Peptide, or Protein"
"1-alkyl-2-acetylglycerophosphocholine esterase","Enzyme"
"1-phosphatidylinositol 4-kinase","Amino Acid, Peptide, or Protein"
"1-phosphatidylinositol 4-kinase","Enzyme"
"1-propanol","Organic Chemical"
"1-propanol","Pharmacologic Substance"
"1,2-dipalmitoylphosphatidylcholine","Organic Chemical"
"1,2-dipalmitoylphosphatidylcholine","Pharmacologic Substance"
"11-beta-hydroxysteroid dehydrogenase type 2","Amino Acid, Peptide, or Protein"
"11-beta-hydroxysteroid dehydrogenase type 2","Enzyme"
"11-hydroxycorticosteroids","Hormone"
"11-hydroxycorticosteroids","Organic Chemical"
"12-hydroxy-5,8,10,14-eicosatetraenoic acid","Biologically Active Substance"
"12-hydroxy-5,8,10,14-eicosatetraenoic acid","Organic Chemical"
"15-hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic acid","Organic Chemical"
"15-hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic acid","Pharmacologic Substance"
"17-hydroxycorticosteroids","Hormone"
"17-hydroxycorticosteroids","Organic Chemical"
"17-ketosteroids","Hormone"
"17-ketosteroids","Organic Chemical"
"2-chloroadenosine","Nucleic Acid, Nucleoside, or Nucleotide"
"2-chloroadenosine","Pharmacologic Substance"
"2-hydroxyphenethylamine","Biologically Active Substance"
"2-hydroxyphenethylamine","Organic Chemical"
"2-hydroxyphenethylamine","Pharmacologic Substance"
"2-pyridinylmethylsulfinylbenzimidazoles","Organic Chemical"
"2-pyridinylmethylsulfinylbenzimidazoles","Pharmacologic Substance"
"3-iodobenzylguanidine","Indicator, Reagent, or Diagnostic Aid"
"3-iodobenzylguanidine","Organic Chemical"
"3-iodobenzylguanidine","Pharmacologic Substance"
"3' untranslated regions","Biologically Active Substance"
"3' untranslated regions","Nucleotide Sequence"
"3',5'-cyclic-amp phosphodiesterases","Amino Acid, Peptide, or Protein"
"3',5'-cyclic-amp phosphodiesterases","Enzyme"
"4-1bb ligand","Amino Acid, Peptide, or Protein"
"4-1bb ligand","Biologically Active Substance"
"4-quinolones","Organic Chemical"
"4-quinolones","Pharmacologic Substance"
"5-lipoxygenase-activating protein inhibitors","Pharmacologic Substance"
"5-lipoxygenase-activating proteins","Amino Acid, Peptide, or Protein"
"5' untranslated regions","Biologically Active Substance"
"5' untranslated regions","Nucleic Acid, Nucleoside, or Nucleotide"
"5'-nucleotidase","Amino Acid, Peptide, or Protein"
"5'-nucleotidase","Enzyme"
"5'-nucleotidase","Immunologic Factor"
"6-ketoprostaglandin f1 alpha","Organic Chemical"
"6-mercaptopurine","Nucleic Acid, Nucleoside, or Nucleotide"
"6-mercaptopurine","Pharmacologic Substance"
"6-phytase","Amino Acid, Peptide, or Protein"
"6-phytase","Enzyme"
"abatacept","Amino Acid, Peptide, or Protein"
"abatacept","Pharmacologic Substance"
"abattoirs","Manufactured Object"
"abdomen","Body Location or Region"
"abdomen, acute","Sign or Symptom"
"abdominal abscess","Disease or Syndrome"
"abdominal fat","Tissue"
"abdominal muscles","Body Part, Organ, or Organ Component"
"abdominal pain","Sign or Symptom"
"abdominal wall","Body Part, Organ, or Organ Component"
"abnormalities, drug-induced","Congenital Abnormality"
"abnormalities, multiple","Congenital Abnormality"
"abo blood-group system","Classification"
"abortion, habitual","Disease or Syndrome"
"abortion, induced","Therapeutic or Preventive Procedure"
"abortion, spontaneous","Pathologic Function"
"abortion, therapeutic","Therapeutic or Preventive Procedure"
"abruptio placentae","Pathologic Function"
"abscess","Disease or Syndrome"
"absenteeism","Individual Behavior"
"absidia","Fungus"
"absorptiometry, photon","Diagnostic Procedure"
"absorption","Natural Phenomenon or Process"
"ac133 antigen","Amino Acid, Peptide, or Protein"
"ac133 antigen","Immunologic Factor"
"acacia","Plant"
"academic medical centers","Health Care Related Organization"
"academic medical centers","Manufactured Object"
"academies and institutes","Organization"
"acalculous cholecystitis","Disease or Syndrome"
"acari","Eukaryote"
"acaridae","Eukaryote"
"acceleration","Phenomenon or Process"
"accidental falls","Injury or Poisoning"
"accidents","Phenomenon or Process"
"accidents, home","Phenomenon or Process"
"accidents, occupational","Phenomenon or Process"
"accidents, traffic","Injury or Poisoning"
"acclimatization","Organism Function"
"accommodation, ocular","Clinical Attribute"
"accreditation","Governmental or Regulatory Activity"
"acculturation","Social Behavior"
"acebutolol","Organic Chemical"
"acebutolol","Pharmacologic Substance"
"acenocoumarol","Organic Chemical"
"acenocoumarol","Pharmacologic Substance"
"acetaldehyde","Organic Chemical"
"acetamides","Organic Chemical"
"acetaminophen","Organic Chemical"
"acetaminophen","Pharmacologic Substance"
"acetanilides","Organic Chemical"
"acetates","Organic Chemical"
"acetates","Pharmacologic Substance"
"acetazolamide","Organic Chemical"
"acetazolamide","Pharmacologic Substance"
"acetic acid","Indicator, Reagent, or Diagnostic Aid"
"acetic acid","Organic Chemical"
"acetic acid","Pharmacologic Substance"
"acetone","Organic Chemical"
"acetone","Pharmacologic Substance"
"acetophenones","Organic Chemical"
"acetylation","Molecular Function"
"acetylcholine","Biologically Active Substance"
"acetylcholine","Organic Chemical"
"acetylcholine","Pharmacologic Substance"
"acetylcholinesterase","Amino Acid, Peptide, or Protein"
"acetylcholinesterase","Enzyme"
"acetylcysteine","Amino Acid, Peptide, or Protein"
"acetylcysteine","Pharmacologic Substance"
"acetylene","Organic Chemical"
"acetylmuramyl-alanyl-isoglutamine","Amino Acid, Peptide, or Protein"
"acetylmuramyl-alanyl-isoglutamine","Immunologic Factor"
"acetylmuramyl-alanyl-isoglutamine","Pharmacologic Substance"
"acetyltransferases","Amino Acid, Peptide, or Protein"
"acetyltransferases","Enzyme"
"achievement","Behavior"
"achillea","Plant"
"achilles tendon","Body Part, Organ, or Organ Component"
"achondroplasia","Congenital Abnormality"
"acid phosphatase","Amino Acid, Peptide, or Protein"
"acid phosphatase","Enzyme"
"acid rain","Environmental Effect of Humans"
"acid rain","Hazardous or Poisonous Substance"
"acid-base equilibrium","Physiologic Function"
"acid-base imbalance","Finding"
"acidosis","Pathologic Function"
"acidosis, lactic","Disease or Syndrome"
"acidosis, respiratory","Disease or Syndrome"
"acids","Chemical"
"acinetobacter","Bacterium"
"acinetobacter infections","Disease or Syndrome"
"acne vulgaris","Disease or Syndrome"
"acoustic impedance tests","Diagnostic Procedure"
"acoustic stimulation","Therapeutic or Preventive Procedure"
"acoustics","Natural Phenomenon or Process"
"acquired immunodeficiency syndrome","Disease or Syndrome"
"acridines","Organic Chemical"
"acrolein","Indicator, Reagent, or Diagnostic Aid"
"acrolein","Organic Chemical"
"acrylates","Organic Chemical"
"acrylic resins","Biomedical or Dental Material"
"acrylonitrile","Hazardous or Poisonous Substance"
"acrylonitrile","Organic Chemical"
"actigraphy","Diagnostic Procedure"
"actin depolymerizing factors","Amino Acid, Peptide, or Protein"
"actin depolymerizing factors","Biologically Active Substance"
"acting out","Individual Behavior"
"actinidia","Plant"
"actins","Amino Acid, Peptide, or Protein"
"actins","Biologically Active Substance"
"action potentials","Cell Function"
"activating transcription factor 3","Amino Acid, Peptide, or Protein"
"active transport, cell nucleus","Cell Function"
"activin receptors, type i","Amino Acid, Peptide, or Protein"
"activin receptors, type i","Enzyme"
"activin receptors, type i","Receptor"
"activin receptors, type ii","Amino Acid, Peptide, or Protein"
"activin receptors, type ii","Enzyme"
"activin receptors, type ii","Receptor"
"activins","Amino Acid, Peptide, or Protein"
"activins","Hormone"
"activities of daily living","Daily or Recreational Activity"
"activity cycles","Temporal Concept"
"acupressure","Therapeutic or Preventive Procedure"
"acupuncture","Biomedical Occupation or Discipline"
"acupuncture analgesia","Therapeutic or Preventive Procedure"
"acupuncture points","Body Location or Region"
"acupuncture therapy","Therapeutic or Preventive Procedure"
"acute chest syndrome","Disease or Syndrome"
"acute coronary syndrome","Disease or Syndrome"
"acute disease","Disease or Syndrome"
"acute kidney injury","Disease or Syndrome"
"acute lung injury","Injury or Poisoning"
"acute-phase proteins","Amino Acid, Peptide, or Protein"
"acute-phase proteins","Biologically Active Substance"
"acute-phase reaction","Pathologic Function"
