"count","mesh_descriptor","freq"
"23513","humans",1.0
"39114","asthma",0.9765236252285969
"19449","adult",0.8271594437119891
"18006","male",0.7657891379237017
"17769","female",0.7557096074511972
"14018","middle aged",0.5961808361332029
"6022","aged",0.2561136392633862
"3549","forced expiratory volume",0.14706757963679667
"2405","bronchial provocation tests",0.10062518606728194
"2099","respiratory function tests",0.0881639943860843
"2007","administration, inhalation",0.08535703653298175
"2529","bronchodilator agents",0.07787181559137499
"2938","occupational diseases",0.07298090418066601
"1675","double-blind method",0.07123718793858716
"2138","bronchi",0.06473014927912218
"1488","time factors",0.06328414068812997
"2060","anti-asthmatic agents",0.06205078041934249
"1318","surveys and questionnaires",0.056054097733168884
"1579","allergens",0.05571386041764131
"1309","chronic disease",0.0548207374643814
"1439","immunoglobulin e",0.05422532216220814
"2190","albuterol",0.05375749585335772
"1280","spirometry",0.05367243652447582
"1661","lung",0.05269425424233403
"1700","bronchitis",0.0523114872623655
"1162","severity of illness index",0.04941947008038106
"1165","peak expiratory flow rate",0.04878152511376685
"1143","skin tests",0.04839875813379833
"1138","risk factors",0.04839875813379833
"1132","treatment outcome",0.048143580147152636
"1358","eosinophils",0.045932037596223364
"1054","case-control studies",0.04482626632075873
"1400","adrenal cortex hormones",0.04461361799855399
"1006","vital capacity",0.042146897460979035
"1164","smoking",0.041381363501041976
"1520","bronchial hyperreactivity",0.040530770212223025
"1287","sputum",0.04048824054778208
"967","methacholine chloride",0.03976523625228597
"935","cross-sectional studies",0.03976523625228597
"931","diagnosis, differential",0.03959511759452218
"927","prospective studies",0.03942499893675839
"904","dose-response relationship, drug",0.03844681665461659
"903","young adult",0.038404286990175646
"901","animals",0.03831922766129375
"867","prevalence",0.036873219070301534
"875","aerosols",0.03683068940586059
"1542","pulmonary disease, chronic obstructive",0.03627780376812827
"1085","glucocorticoids",0.03449155786160847
"786","acute disease",0.03342831625058478
"744","follow-up studies",0.031642070344064986
"1035","adrenergic beta-agonists",0.031471951686301194
"769","airway resistance",0.031471951686301194
"829","occupational exposure",0.03104665504189172
"709","aged, 80 and over",0.03015353208863182
"1079","lung diseases, obstructive",0.029898354101986137
"686","clinical trials as topic",0.029132820142049078
"725","histamine",0.029047760813167185
"1222","theophylline",0.02823969718878918
"660","quality of life",0.02806957853102539
"642","drug therapy, combination",0.02717645557776549
"633","retrospective studies",0.026921277591119806
"881","anti-inflammatory agents",0.026453451282269384
"934","hypersensitivity",0.026198273295623697
"597","cross-over studies",0.025390209671245695
"612","respiration",0.025347680006804745
"597","nebulizers and vaporizers",0.025262620677922853
"943","beclomethasone",0.025177561349040957
"775","aspirin",0.02509250202015906
"969","hypersensitivity, immediate",0.02496491302683622
"607","nitric oxide",0.02322119678475737
"541","cohort studies",0.023008548462552632
"604","bronchoconstriction",0.022966018798111682
"888","rhinitis, allergic, seasonal",0.02283842980478884
"686","bronchoalveolar lavage fluid",0.022710840811465998
"524","age factors",0.022285544167056522
"828","rhinitis",0.02177518819376515
"511","administration, oral",0.021732658529324204
"505","leukocyte count",0.021477480542678517
"544","biomarkers",0.02130736188491473
"679","drug hypersensitivity",0.020329179602772935
"676","dyspnea",0.01986135329392251
"479","patient education as topic",0.01964870497171777
"703","airway obstruction",0.019308467656190192
"672","cough",0.019223408327308296
"776","rhinitis, allergic, perennial",0.018968230340662612
"607","bronchial spasm",0.018755582018457874
"455","dust",0.018713052354016928
"501","pulmonary emphysema",0.017139454769701867
"626","respiratory hypersensitivity",0.01709692510526092
"575","budesonide",0.01705439544081997
"589","inflammation",0.01692680644749713
"398","analysis of variance",0.01692680644749713
"407","breath tests",0.016841747118615233
"395","sex factors",0.016799217454174287
"394","heart rate",0.016671628460851445
"610","eosinophilia",0.016501509803087653
"523","prednisolone",0.016458980138646707
"386","drug administration schedule",0.016416450474205757
"504","neutrophils",0.01624633181644197
"573","ethanolamines",0.016076213158678177
"377","sensitivity and specificity",0.01603368349423723
"628","asthma, exercise-induced",0.015948624165355335
"378","bronchoscopy",0.0156509165142687
"568","androstadienes",0.01552332752094586
"485","prednisone",0.01552332752094586
"359","united states",0.015268149534300174
"359","tomography, x-ray computed",0.01518309020541828
"371","cells, cultured",0.015140560540977331
"355","logistic models",0.015098030876536384
"371","bronchoconstrictor agents",0.0148428528898907
"516","lung diseases",0.01446008590992217
"338","prognosis",0.014375026581040276
"340","biopsy",0.014332496916599328
"549","status asthmaticus",0.014247437587717434
"609","terbutaline",0.014204907923276486
"431","hydrocortisone",0.014077318929953642
"329","random allocation",0.013992259601071748
"327","reproducibility of results",0.013907200272189852
"324","incidence",0.01377961127886701
"323","fluticasone",0.013737081614426062
"359","respiratory sounds",0.01360949262110322
"421","cytokines",0.01343937396333943
"327","hospitalization",0.013311784970016586
"310","patient compliance",0.012843958661166163
"301","blood pressure",0.012801428996725216
"298","comorbidity",0.012673840003402373
"293","lung volume measurements",0.012461191681197635
"296","pulmonary ventilation",0.01220601369455195
"384","anti-inflammatory agents, non-steroidal",0.012120954365670055
"285","enzyme-linked immunosorbent assay",0.012120954365670055
"283","pregnancy",0.011993365372347213
"277","odds ratio",0.011780717050142475
"531","gastroesophageal reflux",0.011738187385701527
"299","pollen",0.011738187385701527
"351","cromolyn sodium",0.011695657721260579
"289","oxygen",0.011695657721260579
"275","reference values",0.011695657721260579
"298","blood proteins",0.011610598392378685
"342","leukotriene antagonists",0.011397950070173947
"469","nasal polyps",0.011270361076851103
"363","t-lymphocytes",0.011270361076851103
"366","ipratropium",0.011227831412410155
"263","health surveys",0.011142772083528261
"260","placebos",0.011015183090205419
"286","self care",0.010930123761323523
"264","circadian rhythm",0.010930123761323523
"380","pneumonia",0.010887594096882575
"266","methacholine compounds",0.010760005103559733
"260","drug combinations",0.01063241611023689
"305","rna, messenger",0.010589886445795943
"248","regression analysis",0.010547356781354995
"248","body mass index",0.010547356781354995
"311","isoproterenol",0.010504827116914047
"252","risk assessment",0.010504827116914047
"253","ribonucleases",0.0104622974524731
"284","immunoglobulin g",0.010419767788032152
"247","delayed-action preparations",0.010419767788032152
"263","desensitization, immunologic",0.010377238123591205
"244","predictive value of tests",0.010377238123591205
"338","hypertension",0.010334708459150257
"242","radiography",0.01029217879470931
"240","eosinophil granule proteins",0.01012206013694552
"237","salmeterol xinafoate",0.010079530472504572
"348","respiratory tract diseases",0.00995194147918173
"233","statistics, nonparametric",0.009909411814740782
"247","environmental exposure",0.009824352485858886
"274","air pollutants, occupational",0.00978182282141794
"230","longitudinal studies",0.00978182282141794
"229","radioallergosorbent test",0.009739293156976992
"229","immunohistochemistry",0.009739293156976992
"416","sinusitis",0.009696763492536044
"241","respiration, artificial",0.009696763492536044
"227","genotype",0.009654233828095096
"235","emergency service, hospital",0.009569174499213202
"227","genetic predisposition to disease",0.009569174499213202
"299","interleukin-5",0.009526644834772254
"365","obesity",0.009484115170331306
"221","practice guidelines as topic",0.009399055841449412
"321","aminophylline",0.009356526177008464
"221","cell count",0.009356526177008464
"219","physical exertion",0.009313996512567516
"216","carbon dioxide",0.00905881852592183
"213","formoterol fumarate",0.00905881852592183
"212","drug evaluation",0.009016288861480882
"303","fenoterol",0.008803640539276144
"210","exercise test",0.00871858121039425
"205","phenotype",0.00871858121039425
"306","respiratory insufficiency",0.008676051545953302
"211","lymphocyte activation",0.008676051545953302
"203","injections, intravenous",0.008633521881512354
"438","churg-strauss syndrome",0.00854846255263046
"204","polymorphism, genetic",0.00854846255263046
"200","socioeconomic factors",0.008505932888189512
"282","quinolines",0.008463403223748564
"247","interleukin-4",0.00837834389486667
"196","multivariate analysis",0.008335814230425722
"255","mast cells",0.008250754901543826
"202","mites",0.008250754901543826
"192","polymorphism, single nucleotide",0.008080636243780037
"205","inflammation mediators",0.008038106579339089
"259","acetates",0.007953047250457194
"186","disease progression",0.007910517586016247
"188","histamine release",0.007782928592693404
"243","methylprednisolone",0.007740398928252456
"180","hydrogen-ion concentration",0.007655339599370561
"283","leukocytes, mononuclear",0.007612809934929614
"186","respiratory therapy",0.007612809934929614
"259","urticaria",0.007570280270488666
"213","air pollutants",0.007570280270488666
"177","pilot projects",0.007527750606047719
"176","electrocardiography",0.007485220941606771
"241","respiratory system",0.007442691277165823
"179","exhalation",0.007442691277165823
"208","antibodies, anti-idiotypic",0.007400161612724876
"247","pregnancy complications",0.007357631948283928
"271","food hypersensitivity",0.007272572619402033
"211","interferon-gamma",0.007230042954961085
"169","recurrence",0.007187513290520138
"174","respiratory mechanics",0.007102453961638243
"206","lymphocytes",0.007059924297197295
"166","flow cytometry",0.007059924297197295
"181","family practice",0.007017394632756348
"211","tuberculosis, pulmonary",0.0069748649683154
"248","antibodies, monoclonal",0.006932335303874452
