"count","mesh_descriptor","freq"
"39114","asthma",0.9765236252285969
"2938","occupational diseases",0.07298090418066601
"1309","chronic disease",0.0548207374643814
"1700","bronchitis",0.0523114872623655
"1520","bronchial hyperreactivity",0.040530770212223025
"1542","pulmonary disease, chronic obstructive",0.03627780376812827
"786","acute disease",0.03342831625058478
"1079","lung diseases, obstructive",0.029898354101986137
"888","rhinitis, allergic, seasonal",0.02283842980478884
"828","rhinitis",0.02177518819376515
"703","airway obstruction",0.019308467656190192
"776","rhinitis, allergic, perennial",0.018968230340662612
"607","bronchial spasm",0.018755582018457874
"501","pulmonary emphysema",0.017139454769701867
"610","eosinophilia",0.016501509803087653
"628","asthma, exercise-induced",0.015948624165355335
"516","lung diseases",0.01446008590992217
"549","status asthmaticus",0.014247437587717434
"531","gastroesophageal reflux",0.011738187385701527
"469","nasal polyps",0.011270361076851103
"380","pneumonia",0.010887594096882575
"338","hypertension",0.010334708459150257
"348","respiratory tract diseases",0.00995194147918173
"416","sinusitis",0.009696763492536044
"365","obesity",0.009484115170331306
"438","churg-strauss syndrome",0.00854846255263046
"259","urticaria",0.007570280270488666
"247","pregnancy complications",0.007357631948283928
"211","tuberculosis, pulmonary",0.0069748649683154
"226","bronchiectasis",0.006932335303874452
"240","respiratory tract infections",0.00680474631055161
"156","syndrome",0.006634627652787819
"236","lung neoplasms",0.006336920001701186
"218","depression",0.006251860672819291
"270","pulmonary eosinophilia",0.006081742015055501
"219","bronchial diseases",0.005996682686173606
"164","diabetes mellitus",0.005911623357291711
"155","psychophysiologic disorders",0.005273678390677498
"234","aspergillosis, allergic bronchopulmonary",0.005146089397354655
"182","dermatitis, atopic",0.00489091141070897
"221","asthma, occupational",0.004805852081827074
"142","pulmonary fibrosis",0.004593203759622337
"136","stress, psychological",0.004593203759622337
"130","arthritis, rheumatoid",0.004380555437417599
"171","conjunctivitis, allergic",0.004295496108535704
"182","osteoporosis",0.004252966444094756
"145","heart failure",0.004210436779653808
"147","agricultural workers' diseases",0.003870199464126228
"114","eczema",0.0037426104708033854
