"mesh","umls"
"1-alkyl-2-acetylglycerophosphocholine esterase","Amino Acid, Peptide, or Protein"
"1-alkyl-2-acetylglycerophosphocholine esterase","Enzyme"
"1-propanol","Organic Chemical"
"1-propanol","Pharmacologic Substance"
"1,2-dipalmitoylphosphatidylcholine","Organic Chemical"
"1,2-dipalmitoylphosphatidylcholine","Pharmacologic Substance"
"11-hydroxycorticosteroids","Hormone"
"11-hydroxycorticosteroids","Organic Chemical"
"12-hydroxy-5,8,10,14-eicosatetraenoic acid","Biologically Active Substance"
"12-hydroxy-5,8,10,14-eicosatetraenoic acid","Organic Chemical"
"17-hydroxycorticosteroids","Hormone"
"17-hydroxycorticosteroids","Organic Chemical"
"17-ketosteroids","Hormone"
"17-ketosteroids","Organic Chemical"
"2-pyridinylmethylsulfinylbenzimidazoles","Organic Chemical"
"2-pyridinylmethylsulfinylbenzimidazoles","Pharmacologic Substance"
"25-hydroxyvitamin d 2","Organic Chemical"
"25-hydroxyvitamin d 2","Vitamin"
"3' untranslated regions","Biologically Active Substance"
"3' untranslated regions","Nucleotide Sequence"
"3',5'-cyclic-amp phosphodiesterases","Amino Acid, Peptide, or Protein"
"3',5'-cyclic-amp phosphodiesterases","Enzyme"
"5-lipoxygenase-activating proteins","Amino Acid, Peptide, or Protein"
"5' flanking region","Biologically Active Substance"
"5' flanking region","Nucleic Acid, Nucleoside, or Nucleotide"
"5' untranslated regions","Biologically Active Substance"
"5' untranslated regions","Nucleic Acid, Nucleoside, or Nucleotide"
"6-ketoprostaglandin f1 alpha","Organic Chemical"
"8,11,14-eicosatrienoic acid","Organic Chemical"
"abbreviations as topic","Intellectual Product"
"abdomen","Body Location or Region"
"abdomen, acute","Sign or Symptom"
"abdominal injuries","Injury or Poisoning"
"abdominal muscles","Body Part, Organ, or Organ Component"
"abdominal neoplasms","Neoplastic Process"
"abdominal pain","Sign or Symptom"
"abnormalities, drug-induced","Congenital Abnormality"
"abnormalities, multiple","Congenital Abnormality"
"abo blood-group system","Classification"
"abortion, habitual","Disease or Syndrome"
"abortion, induced","Therapeutic or Preventive Procedure"
"abortion, spontaneous","Pathologic Function"
"abortion, threatened","Pathologic Function"
"abruptio placentae","Pathologic Function"
"abscess","Disease or Syndrome"
"absenteeism","Individual Behavior"
"absorptiometry, photon","Diagnostic Procedure"
"absorption","Natural Phenomenon or Process"
"abstracting and indexing as topic","Occupational Activity"
"academic medical centers","Health Care Related Organization"
"academic medical centers","Manufactured Object"
"academies and institutes","Organization"
"acanthosis nigricans","Disease or Syndrome"
"acari","Eukaryote"
"acaricides","Hazardous or Poisonous Substance"
"acaricides","Organic Chemical"
"accident proneness","Individual Behavior"
"accidental falls","Injury or Poisoning"
"accidents","Phenomenon or Process"
"accidents, home","Phenomenon or Process"
"accidents, traffic","Injury or Poisoning"
"acclimatization","Organism Function"
"acculturation","Social Behavior"
"acetamides","Organic Chemical"
"acetaminophen","Organic Chemical"
"acetaminophen","Pharmacologic Substance"
"acetates","Organic Chemical"
"acetates","Pharmacologic Substance"
"acetic acid","Indicator, Reagent, or Diagnostic Aid"
"acetic acid","Organic Chemical"
"acetic acid","Pharmacologic Substance"
