"count","mesh_descriptor","freq"
"24328","humans",0.9978671041837571
"40104","asthma",0.9778917145200985
"20633","child",0.8463084495488105
"13128","male",0.5384741591468417
"13061","female",0.5357260049220672
"10601","adolescent",0.4348236259228876
"10020","child, preschool",0.4109926168990976
"5599","infant",0.2296554552912223
"2319","risk factors",0.09511894995898278
"2021","prevalence",0.08289581624282198
"1886","surveys and questionnaires",0.07735849056603773
"2113","respiratory sounds",0.07276456111566858
"2435","anti-asthmatic agents",0.070467596390484
"1694","infant, newborn",0.06948318293683348
"2230","bronchodilator agents",0.06784249384741592
"1650","administration, inhalation",0.06755537325676784
"1844","allergens",0.06493027071369975
"1559","respiratory function tests",0.0628794093519278
"1450","animals",0.05947497949138638
"1438","severity of illness index",0.05898277276456112
"2212","hypersensitivity",0.05857260049220673
"1438","forced expiratory volume",0.05771123872026251
"1393","cross-sectional studies",0.057136997538966366
"1570","immunoglobulin e",0.05693191140278917
"1273","age factors",0.0522149302707137
"1192","skin tests",0.04872846595570139
"1536","adrenal cortex hormones",0.045365053322395404
"1071","prospective studies",0.04392945036915504
"1054","treatment outcome",0.043232157506152585
"1054","time factors",0.043232157506152585
"1043","follow-up studies",0.04278096800656275
"999","chronic disease",0.0398687448728466
"971","acute disease",0.03978671041837572
"949","double-blind method",0.038925348646431504
"935","cohort studies",0.038351107465135356
"1397","albuterol",0.0367104183757178
"1468","hypersensitivity, immediate",0.03547990155865464
"882","bronchial provocation tests",0.03527481542247744
"940","environmental exposure",0.03457752255947498
"839","case-control studies",0.03441345365053322
"870","hospitalization",0.03392124692370796
"842","spirometry",0.033798195242001644
"804","peak expiratory flow rate",0.03281378178835111
"797","united states",0.0324856439704676
"1426","theophylline",0.03203445447087777
"790","nebulizers and vaporizers",0.03191140278917145
"1170","rhinitis, allergic, seasonal",0.03187038556193601
"806","patient education as topic",0.03178835110746513
"765","retrospective studies",0.031378178835110744
"1015","bronchitis",0.03133716160787531
"1003","lung",0.031173092698933553
"1245","dermatitis, atopic",0.030968006562756358
"1182","respiratory tract infections",0.03088597210828548
"1152","asthma, exercise-induced",0.028547990155865465
"1115","bronchial hyperreactivity",0.028178835110746512
"670","diagnosis, differential",0.027481542247744052
"684","parents",0.026620180475799837
"619","aerosols",0.02502050861361772
"1050","rhinitis, allergic, perennial",0.02469237079573421
"696","tobacco smoke pollution",0.02461033634126333
"845","glucocorticoids",0.024446267432321575
"807","adrenergic beta-agonists",0.024077112387202625
"581","logistic models",0.02383100902378999
"573","urban population",0.02350287120590648
"817","eczema",0.023256767842493847
"567","socioeconomic factors",0.023256767842493847
"566","clinical trials as topic",0.02313371616078753
"559","pregnancy",0.022928630024610337
"550","sex factors",0.022559474979491387
"637","nitric oxide",0.022395406070549632
"777","anti-inflammatory agents",0.022231337161607877
"714","cromolyn sodium",0.022231337161607877
"542","quality of life",0.022231337161607877
"588","emergency service, hospital",0.022108285479901558
"573","dust",0.021903199343724363
"778","cough",0.021739130434782608
"553","desensitization, immunologic",0.02136997538966366
"780","respiratory hypersensitivity",0.021123872026251024
"510","prognosis",0.02091878589007383
"508","mites",0.02059064807219032
"492","incidence",0.02018047579983593
"635","air pollutants",0.020139458572600494
"703","budesonide",0.01981132075471698
"592","bronchi",0.01940114848236259
"740","rhinitis",0.019196062346185396
"528","eosinophils",0.01903199343724364
"479","biomarkers",0.01866283839212469
"455","dose-response relationship, drug",0.01866283839212469
"738","food hypersensitivity",0.018621821164889252
"453","recurrence",0.018580803937653816
"446","odds ratio",0.01829368334700574
"444","longitudinal studies",0.018211648892534866
"441","drug therapy, combination",0.018088597210828547
"436","patient compliance",0.01763740771123872
"438","vital capacity",0.017473338802296966
"425","practice guidelines as topic",0.017432321575061527
"435","genetic predisposition to disease",0.017309269893355208
"456","self care",0.017186218211648892
"411","administration, oral",0.016858080393765382
"409","seasons",0.016776045939294503
"421","breath tests",0.01652994257588187
"391","reproducibility of results",0.016037735849056604
"390","sensitivity and specificity",0.015996718621821164
"479","air pollution, indoor",0.015955701394585724
"419","pediatrics",0.01542247744052502
"517","pneumonia",0.015258408531583265
"374","health surveys",0.015217391304347827
"447","air pollution",0.01505332239540607
"380","airway resistance",0.015012305168170632
"601","beclomethasone",0.014848236259228877
"434","smoking",0.014848236259228877
"594","status asthmaticus",0.01468416735028712
"525","respiratory tract diseases",0.01431501230516817
"356","respiration",0.01431501230516817
"346","drug administration schedule",0.014191960623461853
"471","cystic fibrosis",0.013740771123872026
"331","predictive value of tests",0.013576702214930271
"471","airway obstruction",0.013412633305988516
"319","multivariate analysis",0.013084495488105004
"329","methacholine chloride",0.013043478260869565
"318","schools",0.013002461033634127
"308","risk assessment",0.0125512715340443
"513","androstadienes",0.01246923707957342
"311","exercise test",0.012346185397867105
"319","pollen",0.012305168170631665
"295","fluticasone",0.01210008203445447
"300","child welfare",0.011936013125512715
"285","genotype",0.011689909762100083
"468","obesity",0.011648892534864643
"284","regression analysis",0.011648892534864643
"287","housing",0.011484823625922888
"282","randomized controlled trials as topic",0.01140278917145201
"304","histamine",0.011320754716981131
"282","polymorphism, single nucleotide",0.011320754716981131
"273","comorbidity",0.011197703035274816
"270","school health services",0.010705496308449549
"260","phenotype",0.01066447908121411
"323","antigens, dermatophagoides",0.010541427399507794
"258","urban health",0.010500410172272354
"256","analysis of variance",0.010500410172272354
"255","leukocyte count",0.010459392945036915
"255","body mass index",0.010459392945036915
"252","health knowledge, attitudes, practice",0.0103363412633306
"252","disease progression",0.0103363412633306
"252","polymorphism, genetic",0.010131255127153405
"251","breast feeding",0.010131255127153405
"341","leukotriene antagonists",0.010090237899917965
"302","hydrocortisone",0.010008203445447087
"347","inflammation",0.009803117309269893
"276","anti-bacterial agents",0.009762100082034455
"236","physical exertion",0.009680065627563577
"235","family",0.009598031173092698
"235","body height",0.009598031173092698
"344","acetates",0.00951599671862182
"268","immunoglobulin g",0.009392945036915505
"339","quinolines",0.009310910582444626
"223","pilot projects",0.00914684167350287
"301","prednisone",0.009105824446267433
"224","delayed-action preparations",0.009105824446267433
"221","cats",0.009064807219031993
"331","virus diseases",0.009023789991796555
"311","bronchial spasm",0.009023789991796555
"256","steroids",0.009023789991796555
"235","respiratory therapy",0.009023789991796555
"220","age distribution",0.009023789991796555
"216","exercise",0.008777686628383921
"214","attitude to health",0.008777686628383921
"209","sex distribution",0.008572600492206726
"208","united kingdom",0.008531583264971289
"208","disease management",0.008531583264971289
"218","oxygen",0.008449548810500411
"206","risk",0.008449548810500411
"208","heart rate",0.008408531583264971
"355","terbutaline",0.008367514356029532
"251","cytokines",0.008326497128794094
"277","dyspnea",0.008285479901558654
"212","immunotherapy",0.008285479901558654
"208","growth",0.008285479901558654
"202","reference values",0.008285479901558654
"202","placebos",0.008285479901558654
"202","cross-over studies",0.008285479901558654
"202","radiography",0.008244462674323216
"201","parent-child relations",0.008244462674323216
"273","aminophylline",0.008203445447087777
"257","prednisolone",0.008203445447087777
"343","bronchiolitis",0.0081214109926169
"199","radioallergosorbent test",0.0081214109926169
"198","absenteeism",0.0081214109926169
"207","african americans",0.00808039376538146
"200","health education",0.00808039376538146
"197","exhalation",0.007998359310910582
"333","respiratory syncytial virus infections",0.007793273174733388
"192","program evaluation",0.007793273174733388
"204","bronchoconstriction",0.0077522559474979495
"216","primary health care",0.00771123872026251
"187","rural population",0.007670221493027071
"186","statistics, nonparametric",0.007629204265791632
"223","child health services",0.007547169811320755
"184","environment",0.007547169811320755
"265","lung diseases",0.007465135356849877
"232","sputum",0.007465135356849877
"212","prenatal exposure delayed effects",0.00734208367514356
"183","poverty",0.007260049220672683
"192","blood proteins",0.007219031993437244
"177","england",0.007219031993437244
"176","random allocation",0.007219031993437244
"176","chi-square distribution",0.007219031993437244
"176","adaptation, psychological",0.007219031993437244
"326","gastroesophageal reflux",0.007136997538966366
"175","emergencies",0.007136997538966366
"184","length of stay",0.007095980311730927
"173","netherlands",0.007054963084495488
"172","australia",0.007054963084495488
"173","pyroglyphidae",0.006931911402789172
"170","outcome assessment (health care)",0.006890894175553733
"167","japan",0.006849876948318294
"167","dogs",0.006849876948318294
"167","combined modality therapy",0.006849876948318294
"171","pulmonary ventilation",0.0068088597210828545
"173","hispanic americans",0.006767842493847416
"166","sweden",0.006767842493847416
"165","confidence intervals",0.006767842493847416
"164","germany",0.006726825266611977
"196","stress, psychological",0.006685808039376538
"171","ribonucleases",0.006644790812141099
"162","circadian rhythm",0.006603773584905661
"161","brazil",0.006603773584905661
"253","bronchiolitis, viral",0.006562756357670222
"186","caregivers",0.006521739130434782
"162","bronchoscopy",0.006521739130434782
"157","residence characteristics",0.006439704675963905
"171","patient admission",0.006398687448728466
"156","evaluation studies as topic",0.006398687448728466
"157","lung volume measurements",0.0063166529942575884
"154","age of onset",0.0063166529942575884
"174","fungi",0.00627563576702215
"153","italy",0.00627563576702215
"153","health status",0.00627563576702215
"279","sinusitis",0.00623461853978671
"219","ethanolamines",0.006193601312551271
"158","environmental monitoring",0.006193601312551271
"153","eosinophil granule proteins",0.006193601312551271
"150","animals, domestic",0.0061525840853158325
"149","social class",0.006111566858080394
"149","china",0.006070549630844955
"186","th2 cells",0.006029532403609516
